,HotelName,Address,Originalprice,Amountpayable,Discount,Facilities,Ratings,Reviews,Roomquality,Location
65,Capital O 8193 Hotel Pearl,"Near Wajan Kata Bus Stop, Indira Nagar, Mumbai·       2.6 km",6714.0,1880.0,72.0, Free Wi-Fi  CCTV cameras  Card payment  + 3 more,3.6,30.0,Good,mumbai
66,OYO 64671 Royal Aqua,"On main street, Near Yamaha Showroom, Andheri East, Mumbai·       2.9 km",4607.0,1290.0,72.0, Free Wi-Fi  Geyser  CCTV cameras  + 5 more,3.0,571.0,Fair,mumbai
67,OYO 28002 Skyway Inn,"Maharashtra., Mumbai·       3.2 km",4768.0,1335.0,72.0, Reception  Caretaker  Bedside Table / Desk  + 15 more,3.6,509.0,,mumbai
68,OYO 702720 Hotel Seven Oaks,"India, Mumbai·       9.4 km",5808.0,1626.0,72.0, Reception  Geyser  Security  + 2 more,3.6,509.0,,mumbai
69,OYO 79035 Flagship Hotel Kalpana Elite,"Kalpana Cinema LBS Marg Kurla west L ward Zone 5 Mumbai Surburban Maharashtra , Mumbai·       0.2 km",6297.0,1763.0,72.0, AC  TV ,3.3,94.0,Fair,mumbai
71,OYO 16446 Hotel Veera Residency,"Near Hanuman Nagar, Andheri East, Mumbai·       4.6 km",7632.0,2137.0,72.0, Parking facility  Free Wi-Fi  Card payment  + 11 more,3.7,682.0,Good,mumbai
72,OYO SilverKey 76846 Hotel Manas Residency,"Chembur East, Mumbai·       2.8 km",4132.0,1157.0,72.0, Reception  Free Wi-Fi  CCTV cameras  + 6 more,3.4,687.0,Fair,mumbai
73,OYO 65661 Hotel Emerald Inn,"Near Sakinaka metro station, Asalfa, Mumbai·       3.1 km",4924.0,1379.0,71.0, AC  TV ,3.5,761.0,Good,mumbai
74,OYO 703283 Hotel Prince Palace Inn,"India, Mumbai·       4.1 km",5504.0,1926.0,65.0, Reception  Caretaker  Full Sized Bed  + 19 more,3.6,509.0,,mumbai
75,OYO 80565 Hotel Arton,"400059, Mumbai·       2.8 km",5489.0,1921.0,65.0, Parking facility  Reception  Free Wi-Fi  + 12 more,1.8,28.0,Fair,mumbai
76,OYO 4083 Hotel Alfa Grand,"Near Asalpha Metro Station, Andheri East, Mumbai·       2.8 km",4737.0,1326.0,72.0, Free Wi-Fi  Geyser  AC  + 7 more,3.2,429.0,Fair,mumbai
77,OYO 75196 Delight Inn ,"Maharashtra India, Mumbai·       6.3 km",4424.0,1548.0,65.0, Reception  Free Wi-Fi  Caretaker  + 10 more,3.4,41.0,Fair,mumbai
78,OYO 6202 Ashir Inn,"Opp. Seven Hills Hospital, Andheri East, Mumbai·       4.7 km",5657.0,1980.0,65.0, Hair Dryer  Free Wi-Fi  Geyser  + 9 more,3.3,335.0,Fair,mumbai
79,Capital O 701204 Hotel Art Inn,"Mumbai Suburban, Mumbai·       4.7 km",5048.0,1414.0,71.0, Reception  Free Wi-Fi  Caretaker  + 9 more,2.2,63.0,Fair,mumbai
80,OYO 8181 Druv's Taj Palace,"Near Asalpha Metro Station, Dhumai Estate, Mumbai·       2.9 km",6297.0,1763.0,72.0, Free Wi-Fi  CCTV cameras  AC  + 8 more,3.1,872.0,Fair,mumbai
81,OYO Townhouse 808 Royal Palms Shared Serviced Apartment,"Goregaon East, Mumbai·       8.6 km",7579.0,2653.0,65.0, Reception  Power backup  24/7 check-in  + 34 more,2.7,569.0,Fair,mumbai
82,OYO 64671 Royal Aqua,"On main street, Near Yamaha Showroom, Andheri East, Mumbai·       2.9 km",4607.0,1290.0,72.0, Free Wi-Fi  Geyser  CCTV cameras  + 5 more,3.0,571.0,Fair,mumbai
83,Flagship 88645 The Mumbai Inn,"The Mumbai Inn 90 Feet Road Next To Peninsula Near Tilak Nagar Gate Sakinaka Mumbai, Mumbai·       2.9 km",4722.0,1653.0,64.0, Hair Dryer  Reception  Security  + 13 more,3.4,392.0,Fair,mumbai
84,OYO 40902 Anjali Hotel Mumbai,"Near Kanti Nagar, Andheri East, Mumbai·       3.7 km",3815.0,1068.0,72.0, Reception  Free Wi-Fi  Geyser  + 8 more,3.2,428.0,Fair,mumbai
85,OYO 79617 Hotel Ahlan International,"Saki Vihar Road, Mumbai·       5.2 km",4139.0,1449.0,64.0, Reception  Caretaker  CCTV cameras  + 9 more,3.5,511.0,Good,mumbai
86,OYO 5665 Rana Residency,"Tolany Naka, Sher-e-Punjab Colony, Mumbai·       6.1 km",4737.0,1326.0,72.0, Parking facility  Electric Kettle  Free Wi-Fi  + 8 more,3.1,1271.0,Fair,mumbai
87,OYO 6581 Ascot Inn,"Andheri-ghatkopar Link Road, Mumbai·       3.1 km",3798.0,1064.0,71.0, Parking facility  Public washroom  Free Wi-Fi  + 14 more,2.4,219.0,Fair,mumbai
89,OYO 7407 Hotel Blue Sea,"On main street, Near Asalpha Metro Station, Ghatkopar, Mumbai·       2.9 km",4112.0,1152.0,71.0, Free Wi-Fi  Geyser  CCTV cameras  + 7 more,3.2,2580.0,Fair,mumbai
90,Capital O 71247 Jk Regency,"Near Pump House Subway, Andheri East, Mumbai·       5.8 km",6628.0,1856.0,72.0, Private entrance  Parking facility  Reception  + 11 more,3.5,1087.0,Good,mumbai
91,OYO Townhouse 781 Royal Palms Hotel,"On main street, Near Aarey Colony, Goregaon East, Mumbai·       8.6 km",6449.0,1193.0,81.0, Private entrance  Parking facility  Reception  + 20 more,2.8,516.0,Fair,mumbai
92,OYO Townhouse 809 Royal Palms Hotel - Rose Collection,"Near Aarey Colony, Goregaon, Mumbai·       8.6 km",9553.0,1988.0,79.0, Parking facility  Reception  Free Wi-Fi  + 20 more,2.6,514.0,Fair,mumbai
93,OYO 5661 Hotel Ak Palace,"On main street, Near Asalpha Metro Station, Sainaka, Mumbai·       2.9 km",4509.0,1263.0,71.0, Free Wi-Fi  Geyser  CCTV cameras  + 5 more,3.3,585.0,Fair,mumbai
94,OYO 80506 Hotel Mahi,"Sakinaka Metro Station Mathuradas Vasanji Road Gate No. 2, Mumbai·       3.3 km",4424.0,1548.0,65.0, Reception  Security  Attached Washroom  + 10 more,3.5,160.0,Good,mumbai
95,OYO Townhouse 810 Royal Palms Hotel - Daisy Collection,"Goregaon, Mumbai·       8.6 km",8228.0,1194.0,85.0, Parking facility  Free Wi-Fi  Power backup  + 14 more,2.5,641.0,Fair,mumbai
96,OYO 42939 Royal Orbit,"Near L&T, Saki Vihar, Mumbai·       5.7 km",5374.0,1881.0,65.0, Parking facility  Free Wi-Fi  Card payment  + 10 more,2.9,115.0,Fair,mumbai
97,OYO 703355 Hotel Capetown,"Maharashtra , Mumbai·       8.9 km",6914.0,2420.0,65.0, Reception  Caretaker  Attached Washroom  + 10 more,3.6,509.0,,mumbai
98,OYO 5352 Hotel Airport Metro,"Andheri East, Mumbai·       4.0 km",6989.0,2446.0,65.0, Hair Dryer  Free Wi-Fi  Garden/Backyard  + 17 more,3.4,1084.0,Fair,mumbai
99,OYO 30693 Hotel Blue Executive,"On main street, Near Saki Vihar complex, Sakinaka,Mumbai·       3.7 km",3674.5,1063.0,71.0, AC  TV  Queen Sized Bed ,4.1,2553.0,Very Good,mumbai
100,Collection O 84249 Hotel Ulife,"Andheri(e), Mumbai·       5.3 km",3674.5,1063.0,71.0, Reception  Free Wi-Fi  Caretaker  + 11 more,3.9,1036.0,Good,mumbai
101,Collection O 74371 Golden Tulipz Boutique,"Kurla West, Mumbai·       0.3 km",3674.5,1063.0,71.0, Reception  Free Wi-Fi  Refrigerator  + 14 more,3.8,1046.0,Good,mumbai
102,Flagship 75954 Hotel Neelkamal Chembur,"Near BKC, Umarshi Bappa Chowk, Chembur, Mumbai ·       2.8 km",3674.5,1063.0,71.0, Reception  Refrigerator  Card payment  + 12 more,4.2,826.0,Very Good,mumbai
103,Collection O 78659 Collection O Hotel Jayshree Domestic Airport,"Vile Parle East, Mumbai·       3.5 km",3674.5,1063.0,71.0, Private entrance  Reception  Free Wi-Fi  + 18 more,3.7,695.0,Good,mumbai
104,OYO 703183 Kailash Park Boutique Rooms,"Gate no.2 Andheri east-, Mumbai·       3.3 km",3674.5,1063.0,71.0, Reception  Geyser  Caretaker  + 2 more,3.6,509.0,,mumbai
105,OYO 12537 Hotel Lake Bloom Residency 2,"Mumbai Maharashtra India Mumbai, Mumbai·       5.5 km",3674.5,1063.0,71.0, Parking facility  Free Wi-Fi  AC  + 8 more,2.4,33.0,Fair,mumbai
106,OYO 10001 Hotel Blue Ocean,"kailash industrial complex, near kailash business park, vikhroli west, Mumbai·       5.9 km",3674.5,1063.0,71.0, Free Wi-Fi  Geyser  CCTV cameras  + 6 more,3.2,727.0,Fair,mumbai
107,OYO 3769 Blue Pearl Residency,"On main street, Near Asalpha Metro Station, Ghatkopar, Mumbai·       2.9 km",3674.5,1063.0,71.0, Free Wi-Fi  Card payment  Microwave  + 13 more,3.4,1482.0,Fair,mumbai
108,OYO 700258 Raj Hotel,"Golibar, Mumbai·       3.7 km",3674.5,1063.0,71.0, Free Wi-Fi  Geyser  CCTV cameras  + 5 more,2.6,101.0,Fair,mumbai
109,OYO 18581 Hotel Blue Inn Residence,"Kailash Industrial Complex, near Kailash Business Park, Vikhroli West Mumbai·       6.0 km",3674.5,1063.0,71.0, Seating area  AC  TV  + 4 more,3.2,1207.0,Fair,mumbai
111,OYO 29794 A K Residency,"On main street, Near SBI, Marol, Mumbai·       3.9 km",3674.5,1063.0,71.0, Private entrance  Reception  Free Wi-Fi  + 12 more,2.6,515.0,Fair,mumbai
112,SPOT ON 78316 Hotel Grand Skylight,"Sakinaka Metro station, Mumbai·       3.2 km",3674.5,1063.0,71.0, Reception  Caretaker  CCTV cameras  + 8 more,2.4,60.0,Fair,mumbai
113,OYO 70927 Hotel Hyderabad Continental,"Near Tarakarama Theatre, Sultan Bazar, Hyderabad·       0.7 km",1671.0,468.0,71.0, TV  King Sized Bed  Dress Hanger  + 1 more,3.4,1358.0,Fair,hyderabad
114,OYO Townhouse 1065 Hotel S Continental,"Nampally Mandal, Hyderabad·       0.7 km",4614.0,1292.0,72.0, Parking facility  Reception  Caretaker  + 13 more,3.2,241.0,Fair,hyderabad
115,OYO 24204 Nav Bharath Residency,"Near Central Gurudwara Saheb, Gowliguda, Hyderabad·       1.0 km",3952.0,1107.0,71.0, Reception  Free Wi-Fi  Power backup  + 17 more,4.1,1541.0,Very Good,hyderabad
116,OYO 49253 Raja Residency,"Near Raja Deluxe Complex, Musheerabad, Hyderabad·       3.7 km",2286.0,626.0,72.0, Private entrance  Parking facility  Reception  + 14 more,3.9,3874.0,Good,hyderabad
117,OYO 86305 Hotel Aroma Classic,"15-1-309 Feelkhana Near Acharaya Bhavan Baba Ramdav Mandir Bagum Bazar Hyderabad, Hyderabad·       1.6 km",1834.0,599.0,67.0, Reception  Public washroom  Free Wi-Fi  + 14 more,3.7,481.0,Good,hyderabad
118,Flagship 77043 Malkajgiri,"Malkajgiri, Hyderabad·       8.8 km",3017.0,845.0,71.0, Parking facility  Reception  Free Wi-Fi  + 12 more,4.0,3090.0,Very Good,hyderabad
119,OYO 91284 Ambica Lodge,"Punjagutta, Hyderabad·       5.5 km",2366.0,699.0,70.0, Parking facility  Free Wi-Fi  Geyser  + 6 more,2.9,108.0,Fair,hyderabad
120,OYO Townhouse 164 ESI Hospital,"Sanath Nagar, Hyderabad·       8.8 km",4494.0,1258.0,72.0, Private entrance  Reception  Free Wi-Fi  + 11 more,4.3,4606.0,Very Good,hyderabad
121,OYO Townhouse 196 De Alphabet,"Near Sai Baba Temple, Gudimalkapur, Hyderabad·       4.9 km",5102.0,1429.0,71.0, Parking facility  Reception  Free Wi-Fi  + 17 more,3.9,3581.0,Good,hyderabad
122,OYO 17168 Hz Lodge,"Near Julu Khana Parking, Charminar, Hyderabad·       3.0 km",2488.0,697.0,71.0, Elevator  Free Wi-Fi  Power backup  + 2 more,3.8,96.0,Good,hyderabad
123,OYO 16428 Hotel Vaishnavi Inn,"Secunderabad, Hyderabad·       5.4 km",3068.0,839.0,72.0, Free Wi-Fi  Power backup  Card payment  + 14 more,4.0,2262.0,Very Good,hyderabad
124,OYO 6651 Hotel Srujana Stay Inn,"Nampally, Hyderabad·       2.0 km",2959.0,829.0,71.0, Elevator  Free Wi-Fi  Geyser  + 7 more,3.7,1406.0,Good,hyderabad
125,Capital O 9796 Hotel Alekhya Residency,"Near Global Hospital, Saifabad, Hyderabad·       3.3 km",3677.0,1030.0,71.0, Free Wi-Fi  CCTV cameras  Power backup  + 5 more,3.7,784.0,Good,hyderabad
126,Townhouse OAK Hotel Belsons Taj Mahal,"Near Swapnalok Complex, Patny Centre, Hyderabad·       6.4 km",4909.0,1375.0,71.0, Doctor on call  Reception  Power backup  + 25 more,4.3,318.0,Very Good,hyderabad
127,Capital O 44585 Sri Suprabhat Grand,"Nera Venkataramana Theater, Hyderabad·       0.8 km",4429.0,1240.0,72.0, Parking facility  Reception  Free Wi-Fi  + 15 more,3.6,507.0,Good,hyderabad
128,OYO Home 79924 Pramod Prime Homes,"Nagole, Hyderabad·       8.1 km",2702.0,946.0,64.0, Free Wi-Fi  TV  AC ,4.0,1506.0,Very Good,hyderabad
129,Collection O 9386 Hotel Happy Stay,"Near ICICI Bank, Begumpet, Hyderabad·       6.9 km",2646.0,716.0,72.0, AC  TV ,3.4,1592.0,Fair,hyderabad
130,OYO Townhouse  RCC Elite 265 Begumpet,"Opp To J s Babu Silks, Hyderabad·       6.1 km",5308.0,1486.0,72.0, Reception  Caretaker  Power backup  + 23 more,4.5,3516.0,Excellent,hyderabad
131,OYO 10272 Hotel Ruma,"Near City Convention Centre, Nampally, Hyderabad·       1.9 km",4258.0,1192.0,72.0, Elevator  Free Wi-Fi  Geyser  + 7 more,3.3,667.0,Fair,hyderabad
133,OYO Townhouse  RCC Elite 265 Begumpet,"Opp To J s Babu Silks, Hyderabad·       6.1 km",5308.0,1486.0,72.0, Reception  Caretaker  Power backup  + 23 more,4.5,3516.0,Excellent,hyderabad
134,OYO 6651 Hotel Srujana Stay Inn,"Nampally, Hyderabad·       2.0 km",2959.0,829.0,71.0, Elevator  Free Wi-Fi  Geyser  + 7 more,3.7,1406.0,Good,hyderabad
135,OYO 74184 Hotel Meredian,"TelanganaIndia500002, Hyderabad·       2.3 km",10506.0,699.0,93.0, Parking facility  Reception  Free Wi-Fi  + 10 more,3.3,168.0,Fair,hyderabad
136,OYO Townhouse 164 ESI Hospital,"Sanath Nagar, Hyderabad·       8.8 km",4494.0,1258.0,72.0, Private entrance  Reception  Free Wi-Fi  + 11 more,4.3,4606.0,Very Good,hyderabad
137,OYO 68404 Sa Thirumala Residency,"Near VRK Silks, Himayatnagar, Hyderabad·       2.2 km",3192.0,894.0,71.0, Reception  Security  24/7 check-in  + 23 more,3.4,567.0,Fair,hyderabad
138,Capital O 15141 Townvilla Guest House,"Near Indo US Super Speciality Hospital, Ameerpet, Hyderabad·       7.0 km",5265.0,1474.0,72.0, Free Wi-Fi  Geyser  Power backup  + 8 more,4.4,1839.0,Very Good,hyderabad
139,SPOT ON 80478 Hotel Baba Classic,"Hyderabad, Hyderabad·       5.6 km",827.0,399.0,51.0, TV  Reception  Public washroom  + 12 more,2.4,284.0,Fair,hyderabad
